invi,2012,2013,2014,2015,2016,2017,2018,2019,2020
brooklyn_tech_try,0,0,0,0,0,0,0,0,1
centerville,0,0,0,0,0,0,0,0,1
clements_try,0,0,0,0,0,0,0,0,1
columbia,0,0,0,0,0,0,0,0,1
conant,0,0,0,0,0,0,0,0,1
cornell,0,0,0,0,0,0,0,0,1
cwru,0,0,0,0,0,0,0,0,1
georgia,0,0,0,0,0,0,0,1,0
harvard,0,0,0,0,0,0,0,0,1
kenston,1,0,1,1,1,1,1,1,1
long_island,0,0,0,0,0,0,0,0,1
mentor,0,0,0,0,1,1,1,1,1
mira_loma,0,0,0,0,0,0,0,0,1
mit,0,0,0,0,0,0,0,0,1
northview,0,0,0,0,1,1,0,0,0
orlando_science_school,0,0,0,0,0,0,0,0,1
orlando_science_school_try,0,0,0,0,0,0,0,0,1
palo_alto_try,0,0,0,0,0,0,0,0,1
placement,0,0,0,0,1,1,0,0,0
polytechnic,0,0,0,0,0,0,0,0,1
portage,0,0,0,0,0,0,0,0,1
princeton,0,0,0,0,0,0,0,0,1
solon,1,0,0,0,1,1,1,0,1
testexchange,0,0,0,0,0,0,0,0,1
ubrown,0,0,0,0,0,0,0,0,1
ucincinnati,0,0,0,0,0,0,0,0,1
ucvts_try,0,0,0,0,0,0,0,0,1
university_texas,0,0,0,0,0,0,0,1,0
upenn_soup,0,0,0,0,0,1,0,0,1
westlake,0,0,0,0,1,1,1,1,1
wright,0,0,0,0,1,0,0,0,0
yale,0,0,0,0,0,0,0,0,1
